2026-06-03 18:20:15 | INFO     | SentinelAI | [LLMClient] configured provider=openrouter/meta-llama/llama-3.3-70b-instruct url=https://openrouter.ai/api/v1/chat/completions
2026-06-03 18:20:15 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/mistralai/Mistral-7B-Instruct-v0.3 HF_API_TOKEN not set or empty
2026-06-03 18:20:15 | WARNING  | SentinelAI | [LLMClient] provider=huggingface/HuggingFaceH4/zephyr-7b-beta HF_API_TOKEN not set or empty
2026-06-03 18:20:15 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.1-8b-instant url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:20:15 | INFO     | SentinelAI | [LLMClient] configured provider=groq/llama-3.3-70b-versatile url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:20:15 | INFO     | SentinelAI | [LLMClient] configured provider=groq/groq/compound url=https://api.groq.com/openai/v1/chat/completions
2026-06-03 18:20:15 | WARNING  | SentinelAI | [LLMClient] provider=openai/gpt-4.1-mini OPENAI_API_KEY not set or empty
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: bash
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: read_file
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: write_file
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: str_replace
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: search_code
2026-06-03 18:20:46 | DEBUG    | SentinelAI | [ToolRegistry] Registrada: list_directory
2026-06-03 18:20:47 | WARNING  | SentinelAI | [Config] WAZUH_HOST no configurado - integracion Wazuh deshabilitada.
